ベース,カクテル名,材料１,材料２,材料３,材料４,材料５,材料６,材料７,材料８,材料９,材料１０
テキーラ,テキーラ・サンライズ,テキーラ　1/3,オレンジジュース　2/3,グレナデンシロップ　2tsp,オレンジスライス　1枚,,,,,,
ビール,シャンディー・ガフ,ビール　1/2,ジンジャーエール　1/2,,,,,,,,
ビール,レッド・アイ,ビール　1/2,トマトジュース　1/2,バースプーン　グラス,,,,,,,
ビール,パナシェ,ビール　1/2,透明炭酸飲料　1/2,,,,,,,,
ビール,ブラック・ベルベット,濃色ビール　1/2,スパークリングワイン　1/2,,,,,,,,
ブランデー,ミドリ・アレキサンダー,ブランデー　1/2,"メロンリキュール""ミドリ""　1/4",生クリーム　1/4,,,,,,,
ブランデー,ブランデー・サワー,ブランデー　45ml,レモンジュース　20ml,砂糖　1tsp,オレンジスライス　1枚,レッドチェリー　1個,,,,,
ブランデー,スティンガー,ブランデー　3/4,ホワイトペパーミント　1/4,,,,,,,,
ブランデー,サイドカー,ブランデー　1/2,ホワイトキュラソー　1/4,レモンジュース　1/4,,,,,,,
ブランデー,アレキサンダー,ブランデー　1/2,カカオリキュール　1/4,生クリーム　1/4,,,,,,,
ブランデー,ドリーム,ブランデー　2/3,オレンジキュラソー　1/3,アブサン　1ダッシュ,,,,,,,
ブランデー,オリンピック,ブランデー　1/3,オレンジキュラソー　1/3,オレンジジュース　1/3,,,,,,,
ブランデー,ニコラシカ,レモンスライス　1枚,砂糖　1tsp,,,,,,,,
ブランデー,トム・アンド・ジェリー,ブランデー　15ml,ホワイトラム　30ml,砂糖　2tsp,卵　1個,熱湯　適量,,,,,
ブランデー,キャロル,ブランデー　45ml ,スイートベルモット　15ml,,,,,,,,
ブランデー,ビー・アンド・ビー(B AND B),ブランデー　1/2,ベネディクティン　1/2,,,,,,,,
ブランデー,ブランデー・エッグノッグ,ブランデー　30ml,ホワイトラム　15ml,砂糖　2tsp,卵　1個,牛乳　適量,,,,,
ブランデー,ダーティー・マザー,ブランデー　40ml,コーヒーリキュール　20ml,,,,,,,,
ブランデー,カフェ・ロワイヤル,ブランデー　1tsp,角砂糖　1個,ホットコーヒー　適量,,,,,,,
ブランデー,ブランデー・ジンジャー,ブランデー　30～45ml,ジンジャーエール　適量,,,,,,,,
ブランデー,チェリー・ブロッサム,チェリーブランデー　1/2,ブランデー　1/3,オレンジキュラソー　2ダッシュ,レモンジュース　2ダッシュ,グレナデンシロップ　2ダッシュ,,,,,
ブランデー,ホーセズ・ネック(Horse's Neck),ブランデー　30～45ml,レモンの皮のラセンむき　レモン1個分,ジンジャーエール　適量,,,,,,,
ブランデー,プース・カフェ(POUSSE-CAFE),サントリーグレナデンシロップ　1/6,ヘルメスメロンリキュール　1/6,ヘルメスバイオレット　1/6,ヘルメスホワイトペパーミント　1/6,ヘルメスブルーキュラソー　1/6,サントリーブランデー　1/6,,,,
ブランデー,クラシック,ブランデー　1/2,オレンジキュラソー　1/6,マラスキーノ　1/6,レモンジュース　1/6,砂糖　適量,,,,,
ブランデー,バレンシア,アプリコットブランデー　40ml,オレンジジュース　20ml,オレンジビターズ　1/2tsp,オレンジスライス　1/2枚,,,,,,
ブランデー,ブランデー・クラスタ,ブランデー　60ml,マラスキーノ　1tsp,レモンジュース　1tsp,アロマチックビターズ　1ダッシュ,レモンの皮のラセンむき　1個分,砂糖　適量,,,,
ブランデー,ビトウィーン・ザ・シーツ,ブランデー　1/3,ホワイトラム　1/3,ホワイトキュラソー　1/3,レモンジュース　1tsp,,,,,,
